Ta_med;Ta_max;Ta_min;UR_med;UR_max;UR_min;RG;V;P;ET0
28.8;34.82;24.42;56.13;77.1;34.99;15.22368;1.816983425;0;4.75946839
28.07;34.55;23.51;55.28;71.4;31.28;13.176;1.528734154;0;4.310379572
28.76;35.21;24.29;52.35;71.2;30.55;15.75936;1.76080705;0;4.953597319
30.29;36.6;24.95;52.57;76.4;28.03;15.768;1.843690227;0;5.171050616
29.13;35.22;24.49;58.05;78.2;32.01;12.0528;1.63556136;0;4.239809461
28.79;35.41;22.31;50.38;76.2;28.5;18.10944;1.928415252;0;5.386836634
28.77;36;22.98;52.44;78.3;26.77;16.43328;2.019586747;0;5.35899573
29.25;35.67;24.49;52.02;70.4;31.34;16.10496;2.780270127;0;6.008769717
28.73;36;22.11;49.75;78.2;24.45;18.52416;2.567536639;0;6.209469511
29.29;36.07;22.18;50.55;78.6;28.56;18.48096;2.200087888;0;5.730067177
24.77;31.31;19.99;80.2;94.3;51.29;11.5344;1.419144176;13.46;3.14059256
27.01;33.96;21.25;59.24;83;32.54;15.99264;2.359407773;0;5.135010246
27.31;34.22;21.25;58.33;82.9;30.55;16.58016;2.142990588;0;5.09721916
27.06;33.16;22.31;58.49;80.9;34.13;16.1136;1.379544435;0;4.220612258
27.61;34.95;21.72;54.25;78.6;27.23;16.05312;1.529655078;0;4.614137259
27.91;34.68;22.38;54.01;79.9;30.02;17.7552;1.568333894;0;4.782838303
25.82;32.43;22.18;69.72;86;39.89;8.6832;1.689895887;0;3.331809923
27.79;35.14;23.16;59.19;83.1;31.61;15.10272;1.672398328;0;4.546151944
27.99;34.68;22.31;56.81;80.6;31.68;17.47872;1.587673302;0;4.721130712
28.19;35.53;22.51;57.47;82;31.01;17.70336;1.126290283;0;4.357704663
29.39;36.6;20.99;52.62;85.3;27.7;17.5824;1.761727974;0;5.106887105
28.44;33.62;23.04;54.42;81.1;34.19;12.86496;1.656742616;0;4.07814603
29;35.28;23.7;53.53;75.7;31.01;12.99456;2.230478386;0;4.922878036
28.6;35.21;23.89;51.67;73.2;28.03;12.38112;2.935906315;0;5.653711185
28.14;34.95;20.99;50.75;81.1;26.97;16.62336;2.324412653;0;5.409582242
25.74;29.45;21.19;68.04;82.3;52.1;9.85824;2.373221635;0.254;3.411333545
27.71;35.07;20.86;57.17;88;28.89;15.13728;2.233241159;0;5.030092223
28.09;34.35;22.25;51.71;77.8;31.01;14.0832;2.866837001;0.254;5.457525076
28.18;34.75;22.78;51.86;74.6;30.09;16.44192;2.855785911;0;5.833118181
27.33;30.71;22.38;57.83;80.7;42.61;8.9424;3.189160467;0;4.221441936
27.4;34.55;20.2;53.43;83.5;30.02;16.52832;2.24889687;0;5.136573436
27.21;34.22;21.05;52.08;79.1;27.5;16.69248;2.400849361;0;5.369346014
27.22;33.76;21.85;55.38;77.2;31.94;13.4352;2.168776465;0;4.664239376
27.84;34.75;21.39;52.58;77.6;29.09;15.79392;1.626352118;0;4.539591222
27.9;35.01;22.58;50.92;75.6;26.31;17.4096;2.200087888;0;5.406043001
27.3;34.41;22.05;51.08;75;27.04;17.82432;2.034321534;0;5.194252254
28.31;34.74;23.5;50.74;71.8;27.76;15.93216;2.260868884;0;5.288787517
28.18;36.27;21.98;49.8;76.7;24.38;17.4528;1.753439656;0;5.071586403
29.31;36.79;23.04;50.64;79.6;26.97;17.17632;1.502027353;0;4.752812214
30.05;36.33;23.57;48.99;77.2;29.02;16.87392;2.302310473;0;5.498241975
29.2;35.41;24.03;50.05;71.8;29.16;15.31008;2.012219353;0;4.989351114
28.3;34.61;23.56;53.3;76.2;30.02;16.25184;2.06655388;0;5.013253677
28.67;36;21.65;47.54;77.4;25.91;16.47648;1.085769619;0;4.121641457
28.67;35.27;22.64;48.19;78.1;26.31;16.1568;2.361249621;0;5.410355958
26.9;30.51;24.09;61.52;76.2;46.85;7.66368;2.425714314;0;3.521393893
27.23;33.82;21.39;55.7;82.8;28.16;15.768;2.606215455;0;5.287644958
27.05;33.89;19.47;49.14;80;26.97;17.29728;1.913680465;0;4.854758626
27.92;34.29;22.51;48.09;74.2;25.98;16.25184;2.437686329;0;5.412259992
27.44;34.22;22.11;51.26;75;29.89;12.76992;2.647657044;0;5.124928053
27.04;33.56;19.6;48.26;80.9;27.04;16.69248;2.311519715;0;5.113017397
-;-;-;-;-;-;-;-;-;-
-;-;-;-;-;-;-;-;-;-
-;-;-;-;-;-;-;-;-;-
29.4;34.55;23.9;46.1;63.29;31.74;17.99712;1.58491053;0.762;4.723556758
27.22;34.87;20.59;52.77;85.5;25.05;16.96896;1.3629678;0;4.291274787
27.58;35.07;20.46;50.48;74.1;24.85;16.5024;2.243371325;0;5.306258086
27.24;33.03;22.25;58.9;79.9;36.38;12.32064;2.647657044;0;4.618419519
26.18;31.7;21.25;65.37;87.8;43.54;9.936;2.445974646;0;3.729462894
28.12;35.73;20.92;55.58;84.3;29.75;16.60608;1.514920291;0;4.422667507
28.28;35.34;21.25;52.11;83.1;28.36;16.2;1.540706168;0;4.395091279
27.37;34.81;21.52;52.47;82;24.91;14.72256;2.223110993;0;4.971370935
26.53;32.56;20.46;50.03;79;26.57;16.52832;2.95892942;0;5.511126943
26.23;33.49;18.28;55.95;87.8;30.02;13.6512;1.537943396;0;3.879468105
26.75;34.22;20.39;49.61;77.2;21.6;16.45056;1.928415252;0;4.85754332
27.68;34.74;19.6;54.38;80.5;31.34;15.6816;1.489134414;0;4.166647652
27.63;33.49;24.16;62.83;77.9;40.49;12.85632;2.820790791;0;4.736623125
22.3;27.21;19.2;84;93;65.75;7.88832;2.257185188;4.064;2.347934863
22.33;28.79;17.54;77.7;93.3;52.68;8.41536;2.317966184;1.016;2.884374842
23.3;30.25;17.14;69.81;93.1;43.74;12.42432;2.149437058;0;3.560900375
25.81;32.43;19.33;60.27;87;34.66;15.5088;2.263631657;0;4.465537335
25.7;32.56;18.08;64.31;88.8;35.19;12.15648;2.365854242;0;4.207202957
24.9;29.12;21.92;69.45;82.1;54.87;6.60096;2.142069664;0;2.747598313
25.21;31.84;19.46;66.29;89;40.76;11.04192;1.758965201;0;3.427415019
25.41;33.55;17.68;59.18;92.4;28.56;15.91488;1.541627093;0;4.082941203
25.51;34.08;18.01;57.39;88.8;27.56;15.94944;1.132736753;0;3.736883975
26.17;33.62;18.54;57.49;87.8;31.67;14.9904;1.234038413;0;3.676396033
28.61;35.34;23.1;51.89;78.7;27.23;14.67072;1.607933634;0;4.330615101
